# BTCUSDT 1h  source=file-cache  n=8760
# from=2025-07-31T21:00:00.000Z  to=2026-07-31T20:00:00.000Z
timestamp	date	open	high	low	close	volume
1779098400000	2026-05-18T10:00:00.000Z	76933.17	76957.35	76716.99	76764.74	432.20236
1779102000000	2026-05-18T11:00:00.000Z	76764.75	77403.48	76668.58	77285.83	692.38548
1779105600000	2026-05-18T12:00:00.000Z	77285.83	77800	77275.96	77639.98	980.76582
1779109200000	2026-05-18T13:00:00.000Z	77639.99	77639.99	76695.31	76937.7	1116.5633
1779112800000	2026-05-18T14:00:00.000Z	76937.7	76954.25	76230.02	76393.65	2158.59337
1779116400000	2026-05-18T15:00:00.000Z	76393.66	76485.29	76051	76409.46	1960.17489
1779120000000	2026-05-18T16:00:00.000Z	76409.46	76665.68	76218	76410.01	1252.9383
1779123600000	2026-05-18T17:00:00.000Z	76410	76757.21	76366.13	76706.39	450.87486
1779127200000	2026-05-18T18:00:00.000Z	76706.38	76706.38	76144.24	76252.5	779.57136
1779130800000	2026-05-18T19:00:00.000Z	76252.01	76995	76235	76928	812.47229
1779134400000	2026-05-18T20:00:00.000Z	76928	77182.14	76874.73	76909.92	463.85785
1779138000000	2026-05-18T21:00:00.000Z	76909.92	77174.23	76800	77103.05	491.7356
1779141600000	2026-05-18T22:00:00.000Z	77103.04	77222.79	76937.19	77078.22	359.68174
1779145200000	2026-05-18T23:00:00.000Z	77078.22	77160.79	76948.8	77001.87	275.05472
1779148800000	2026-05-19T00:00:00.000Z	77001.88	77414.62	76955.99	77140.87	556.43712
1779152400000	2026-05-19T01:00:00.000Z	77140.86	77156.2	76667	76667.01	769.46148
1779156000000	2026-05-19T02:00:00.000Z	76667.01	76997.33	76487.83	76617.47	469.02583
1779159600000	2026-05-19T03:00:00.000Z	76617.46	76867.23	76586.11	76787.11	211.83571
1779163200000	2026-05-19T04:00:00.000Z	76787.1	76943.75	76700	76927.25	239.72033
1779166800000	2026-05-19T05:00:00.000Z	76927.25	77000	76644.98	76911.24	392.43215
1779170400000	2026-05-19T06:00:00.000Z	76911.25	77108.68	76886.13	77029.4	386.11356
1779174000000	2026-05-19T07:00:00.000Z	77029.41	77278.57	76974.72	77233.69	490.1935
1779177600000	2026-05-19T08:00:00.000Z	77233.68	77317.02	76972.96	77048.71	465.92336
1779181200000	2026-05-19T09:00:00.000Z	77048.72	77074.05	76709.29	76818.8	385.08727
1779184800000	2026-05-19T10:00:00.000Z	76818.8	77103.97	76704	77041.87	464.38738
